t,t_planning,a0,a1,q0,q0dot,fk0_x,fk0_y,q1,q1dot,fk1_x,fk1_y,fk2_x,fk2_y,goal_0_0,goal_1_0
0.0,0.0012409789997036569,1.8988775699231404,1.5416468797932554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2
0.05,0.0013745150026807096,0.28996143853095335,0.44597322132571926,0.0023735970325108446,0.09494387849615701,0.0,0.0,0.0019270586566594642,0.0770823439896628,0.0023735970325108446,0.0019270586566594642,0.0023735970325108446,0.0019270586566594642,4.0,0.2
0.1,0.0012373089994071051,0.28603387942141945,0.3629755564605568,0.007483242766279693,0.10944195042270467,0.0,0.0,0.006338642399406477,0.09938100505594877,0.007483242766279693,0.006338642399406477,0.007483242766279693,0.006338642399406477,4.0,0.2
0.15000000000000002,0.0013212710000516381,0.2860310209830367,0.32699306779608517,0.01331288264734442,0.12374364439377565,0.0,0.0,0.011761412111297857,0.11752978287897661,0.01331288264734442,0.011761412111297857,0.01331288264734442,0.011761412111297857,4.0,0.2
0.2,0.0013188869997975416,0.28658602732699323,0.3086321022300744,0.019857603653915232,0.13804519544292748,0.0,0.0,0.01804664260217066,0.1338794362687809,0.019857603653915232,0.01804664260217066,0.019857603653915232,0.01804664260217066,4.0,0.2
0.25,0.001406035000400152,0.28725502056715146,0.29796813167883507,0.02711809597089456,0.15237449680927712,0.0,0.0,0.02512640455489264,0.14931104138028461,0.02711809597089456,0.02512640455489264,0.02711809597089456,0.02512640455489264,4.0,0.2
0.3,0.0014045600000827108,0.28800392186444523,0.2910362654791151,0.035095889597766675,0.1667372478376347,0.0,0.0,0.03296441679960375,0.16420944796422637,0.035095889597766675,0.03296441679960375,0.035095889597766675,0.03296441679960375,4.0,0.2
0.35,0.0012904530012747273,0.2888505710946373,0.28604088799268823,0.0437927569027063,0.18113744393085693,0.0,0.0,0.04153868454050424,0.17876126123818215,0.0437927569027063,0.04153868454050424,0.0437927569027063,0.04153868454050424,4.0,0.2
0.39999999999999997,0.0012033169987262227,0.28980998988098217,0.2820853744265537,0.05321069232387639,0.1955799724855888,0.0,0.0,0.050834298723058495,0.19306330563781654,0.05321069232387639,0.050834298723058495,0.05321069232387639,0.050834298723058495,4.0,0.2
0.44999999999999996,0.0011914379974768963,0.29088839287006285,0.27868455349782817,0.06335195344630176,0.21007047197963793,0.0,0.0,0.0608400707334895,0.2071675743591442,0.06335195344630176,0.0608400707334895,0.06335195344630176,0.0608400707334895,4.0,0.2
0.49999999999999994,0.0012801510019926354,0.2920846079332292,0.2755571857250996,0.07421908754720614,0.2246148916231411,0.0,0.0,0.07154680515369934,0.22110180203403565,0.07421908754720614,0.07154680515369934,0.07421908754720614,0.07154680515369934,4.0,0.2
0.5499999999999999,0.0012118340018787421,0.29339185936125145,0.27253023976572166,0.08581493789915921,0.2392191220198026,0.0,0.0,0.08294634174782137,0.23487966132029062,0.08581493789915921,0.08294634174782137,0.08581493789915921,0.08294634174782137,4.0,0.2
0.6,0.001256647999980487,0.29479894726284583,0.26949189786069583,0.09814263383527909,0.25388871498786514,0.0,0.0,0.0950309876236942,0.24850617330857672,0.09814263383527909,0.0950309876236942,0.09814263383527909,0.0950309876236942,4.0,0.2
0.65,0.0012402930005919188,0.2962908953256188,0.26636740003277987,0.11120556827973153,0.26862866235100746,0.0,0.0,0.1077931611714869,0.2619807682016115,0.11120556827973153,0.1077931611714869,0.11120556827973153,0.1077931611714869,4.0,0.2
0.7000000000000001,0.0012346670009719674,0.29784924451655037,0.2631062866073882,0.12500736502747503,0.2834432071172884,0.0,0.0,0.12122515884153,0.27529913820325047,0.12500736502747503,0.12122515884153,0.12500736502747503,0.12122515884153,4.0,0.2
0.7500000000000001,0.0012282610005058814,0.29945212506299224,0.2596756692024758,0.1395518369500792,0.2983356693431159,0.0,0.0,0.13531899861975172,0.28845445253361984,0.1395518369500792,0.13531899861975172,0.1395518369500792,0.13531899861975172,4.0,0.2
0.8000000000000002,0.0011820319996331818,0.3010741887155245,0.2560568837143356,0.15484293558471732,0.31330827559626556,0.0,0.0,0.15006631584260788,0.3014382359937436,0.15484293558471732,0.15006631584260788,0.15484293558471732,0.15006631584260788,4.0,0.2
0.8500000000000002,0.0012507600004028063,0.30268644752238194,0.25224417265544785,0.17088469211163887,0.32836198503204184,0.0,0.0,0.16545829875647508,0.31424108017946034,0.17088469211163887,0.16545829875647508,0.17088469211163887,0.16545829875647508,4.0,0.2
0.9000000000000002,0.0012439190031727776,0.3042560411097664,0.24824469233023733,0.18768114943391773,0.3434963074081609,0.0,0.0,0.18148565799066244,0.3268532888122328,0.18768114943391773,0.18148565799066244,0.18768114943391773,0.18148565799066244,4.0,0.2
0.9500000000000003,0.0013096219990984537,0.30574593647434256,0.24407948316716976,0.20523628486704507,0.3587091094636492,0.0,0.0,0.19813862830593282,0.3392655234287447,0.20523628486704507,0.19813862830593282,0.20523628486704507,0.19813862830593282,4.0,0.2
1.0000000000000002,0.0015307430003304034,0.3071145482382717,0.23978523510263122,0.22355392277220784,0.3739964062873663,0.0,0.0,0.21540700384041966,0.3514694975871032,0.22355392277220784,0.21540700384041966,0.22355392277220784,0.21540700384041966,4.0,0.2
1.0500000000000003,0.0012762209989887197,0.308315249684754,0.23541679953001,0.24263763628331228,0.3893521336992799,0.0,0.0,0.23328021027258375,0.3634587593422348,0.24263763628331228,0.23328021027258375,0.24263763628331228,0.23328021027258375,4.0,0.2
1.1000000000000003,0.001235249001183547,0.3092957222792904,0.23105048332316236,0.262490637041865,0.40476789618351755,0.0,0.0,0.2517474192478758,0.37522959931873534,0.262490637041865,0.2517474192478758,0.262490637041865,0.2517474192478758,4.0,0.2
1.1500000000000004,0.001234526000189362,0.30999705971823066,0.22678822958467867,0.28311565151540924,0.42023268229748206,0.0,0.0,0.2707977123265717,0.3867821234848935,0.28311565151540924,0.2707977123265717,0.28311565151540924,0.2707977123265717,4.0,0.2
1.2000000000000004,0.00117722599679837,0.31035249619535166,0.222762856122032,0.30451478196647636,0.4357325352833935,0.0,0.0,0.29042030379624356,0.39812153496412744,0.30451478196647636,0.29042030379624356,0.30451478196647636,0.29042030379624356,4.0,0.2
1.2500000000000004,0.0011990999992121942,0.3102855591059488,0.21914459355607824,0.32668934936244864,0.45125016009316105,0.0,0.0,0.3106048341228987,0.40925967777022904,0.32668934936244864,0.3106048341228987,0.32668934936244864,0.3106048341228987,4.0,0.2
1.3000000000000005,0.0012643800000660121,0.3097073407191828,0.21614924432740984,0.3496397143275448,0.46676443804845846,0.0,0.0,0.3313417487615167,0.420216907448033,0.3496397143275448,0.3313417487615167,0.3496397143275448,0.3313417487615167,4.0,0.2
1.3500000000000005,0.001199031001306139,0.3085124207183712,0.21404837137314184,0.37336507041740075,0.48224980508441767,0.0,0.0,0.35262278069737735,0.4310243696644035,0.37336507041740075,0.35262278069737735,0.37336507041740075,0.35262278069737735,4.0,0.2
1.4000000000000006,0.0012001100003544707,0.30657271880740766,0.21318201287119312,0.3978632012090091,0.4976754261203362,0.0,0.0,0.3744415596527855,0.44172678823306055,0.3978632012090091,0.3744415596527855,0.3978632012090091,0.3744415596527855,4.0,0.2
1.4500000000000006,0.0013242079985502642,0.3037281606025342,0.21397448326365154,0.4231301884249523,0.5130040620607066,0.0,0.0,0.3967943765884666,0.4523858888766202,0.4231301884249523,0.3967943765884666,0.4231301884249523,0.3967943765884666,4.0,0.2
1.5000000000000007,0.0012573200001497753,0.299772415363506,0.2169538036666317,0.4491600517400519,0.5281904700908334,0.0,0.0,0.4196811391443458,0.46308461303980275,0.4491600517400519,0.4196811391443458,0.4491600517400519,0.4196811391443458,4.0,0.2
1.5500000000000007,0.0012583559982886072,0.29443097477717717,0.22277508109008493,0.47594429077496175,0.5431790908590088,0.0,0.0,0.4431065620589987,0.47393230322313434,0.47594429077496175,0.4431065620589987,0.47594429077496175,0.4431065620589987,4.0,0.2
